File/Folder,Date,Time,Size
gen1ou-0.txt,01-Nov-2024,13:48,12181
gen1ou-0.txt.gz,01-Nov-2024,13:48,3227
gen1ou-1500.txt,01-Nov-2024,13:48,12183
gen1ou-1500.txt.gz,01-Nov-2024,13:48,3446
gen1ou-1630.txt,01-Nov-2024,13:48,12183
gen1ou-1630.txt.gz,01-Nov-2024,13:48,3347
gen1ou-1760.txt,01-Nov-2024,13:48,12183
gen1ou-1760.txt.gz,01-Nov-2024,13:48,3330
gen1rbycap-0.txt,01-Nov-2024,13:48,3568
gen1rbycap-0.txt.gz,01-Nov-2024,13:48,867
gen1rbycap-1500.txt,01-Nov-2024,13:48,3570
gen1rbycap-1500.txt.gz,01-Nov-2024,13:48,982
gen1rbycap-1630.txt,01-Nov-2024,13:48,3572
gen1rbycap-1630.txt.gz,01-Nov-2024,13:48,939
gen1rbycap-1760.txt,01-Nov-2024,13:48,3572
gen1rbycap-1760.txt.gz,01-Nov-2024,13:48,947
gen2ou-0.txt,01-Nov-2024,13:48,16363
gen2ou-0.txt.gz,01-Nov-2024,13:48,3985
gen2ou-1500.txt,01-Nov-2024,13:48,16365
gen2ou-1500.txt.gz,01-Nov-2024,13:48,4320
gen2ou-1630.txt,01-Nov-2024,13:48,16365
gen2ou-1630.txt.gz,01-Nov-2024,13:48,4208
gen2ou-1760.txt,01-Nov-2024,13:48,16365
gen2ou-1760.txt.gz,01-Nov-2024,13:48,4128
gen2ubers-0.txt,01-Nov-2024,13:48,2091
gen2ubers-0.txt.gz,01-Nov-2024,13:48,515
gen2ubers-1500.txt,01-Nov-2024,13:48,2093
gen2ubers-1500.txt.gz,01-Nov-2024,13:48,594
gen2ubers-1630.txt,01-Nov-2024,13:48,2093
gen2ubers-1630.txt.gz,01-Nov-2024,13:48,587
gen2ubers-1760.txt,01-Nov-2024,13:48,2093
gen2ubers-1760.txt.gz,01-Nov-2024,13:48,572
gen3ou-0.txt,01-Nov-2024,13:48,25876
gen3ou-0.txt.gz,01-Nov-2024,13:48,6501
gen3ou-1500.txt,01-Nov-2024,13:48,25878
gen3ou-1500.txt.gz,01-Nov-2024,13:48,6889
gen3ou-1630.txt,01-Nov-2024,13:48,25878
gen3ou-1630.txt.gz,01-Nov-2024,13:48,6742
gen3ou-1760.txt,01-Nov-2024,13:48,25878
gen3ou-1760.txt.gz,01-Nov-2024,13:48,6699
gen3pu-0.txt,01-Nov-2024,13:48,2009
gen3pu-0.txt.gz,01-Nov-2024,13:48,376
gen3pu-1500.txt,01-Nov-2024,13:48,2011
gen3pu-1500.txt.gz,01-Nov-2024,13:48,442
gen3pu-1630.txt,01-Nov-2024,13:48,2011
gen3pu-1630.txt.gz,01-Nov-2024,13:48,420
gen3pu-1760.txt,01-Nov-2024,13:48,2011
gen3pu-1760.txt.gz,01-Nov-2024,13:48,418
gen3ubers-0.txt,01-Nov-2024,13:48,19724
gen3ubers-0.txt.gz,01-Nov-2024,13:48,4274
gen3ubers-1500.txt,01-Nov-2024,13:48,19726
gen3ubers-1500.txt.gz,01-Nov-2024,13:48,4773
gen3ubers-1630.txt,01-Nov-2024,13:48,19726
gen3ubers-1630.txt.gz,01-Nov-2024,13:48,4592
gen3ubers-1760.txt,01-Nov-2024,13:48,19726
